FLORES-200: 2009 EN sentences
OPUS-100 : 1004000 pairs
trainable params: 1,179,648 || all params: 105,527,296 || trainable%: 1.1179
No checkpoint found — starting from scratch
Starting training now!
{'loss': 7.1612, 'grad_norm': 2.958796262741089, 'learning_rate': 0.00046373333333333335, 'epoch': 0.22}
{'loss': 7.0447, 'grad_norm': 2.7285377979278564, 'learning_rate': 0.0004632, 'epoch': 0.22}
{'loss': 7.178, 'grad_norm': 1.8904259204864502, 'learning_rate': 0.0004626666666666667, 'epoch': 0.22}
{'eval_loss': 7.116133689880371, 'eval_bleu': 0.0827, 'eval_chrf': 5.5588, 'eval_runtime': 456.676, 'eval_samples_per_second': 4.379, 'eval_steps_per_second': 0.274, 'epoch': 0.22}
{'loss': 7.0368, 'grad_norm': 2.32165265083313, 'learning_rate': 0.00046213333333333336, 'epoch': 0.23}
{'loss': 6.9394, 'grad_norm': 2.3098926544189453, 'learning_rate': 0.0004616, 'epoch': 0.23}
{'loss': 7.2022, 'grad_norm': 1.7968977689743042, 'learning_rate': 0.0004610666666666667, 'epoch': 0.23}
{'loss': 7.0369, 'grad_norm': 2.3040149211883545, 'learning_rate': 0.0004605333333333334, 'epoch': 0.24}
{'loss': 7.1385, 'grad_norm': 2.006866216659546, 'learning_rate': 0.00046, 'epoch': 0.24}
{'loss': 7.1764, 'grad_norm': 2.0495545864105225, 'learning_rate': 0.0004594666666666667, 'epoch': 0.24}
{'loss': 7.1622, 'grad_norm': 1.9380453824996948, 'learning_rate': 0.0004589333333333334, 'epoch': 0.25}
{'loss': 6.5495, 'grad_norm': 2.323601484298706, 'learning_rate': 0.0004584, 'epoch': 0.25}
{'loss': 6.7962, 'grad_norm': 2.8768515586853027, 'learning_rate': 0.00045786666666666666, 'epoch': 0.25}
{'loss': 6.8941, 'grad_norm': 2.2244651317596436, 'learning_rate': 0.0004573333333333333, 'epoch': 0.26}
{'eval_loss': 7.051277160644531, 'eval_bleu': 0.0444, 'eval_chrf': 5.6643, 'eval_runtime': 506.5191, 'eval_samples_per_second': 3.949, 'eval_steps_per_second': 0.247, 'epoch': 0.26}
{'loss': 7.3221, 'grad_norm': 1.8657995462417603, 'learning_rate': 0.0004568, 'epoch': 0.26}
{'loss': 7.1218, 'grad_norm': 2.059666872024536, 'learning_rate': 0.0004562666666666667, 'epoch': 0.26}
{'loss': 6.9101, 'grad_norm': 2.416771411895752, 'learning_rate': 0.0004557333333333333, 'epoch': 0.27}
{'loss': 7.0859, 'grad_norm': 2.2524170875549316, 'learning_rate': 0.0004552, 'epoch': 0.27}
{'loss': 7.2141, 'grad_norm': 2.1201539039611816, 'learning_rate': 0.0004546666666666667, 'epoch': 0.27}
{'loss': 7.0779, 'grad_norm': 2.558004140853882, 'learning_rate': 0.00045413333333333333, 'epoch': 0.28}
{'loss': 7.0972, 'grad_norm': 2.004504680633545, 'learning_rate': 0.0004536, 'epoch': 0.28}
{'loss': 6.9298, 'grad_norm': 2.3131957054138184, 'learning_rate': 0.00045306666666666666, 'epoch': 0.28}
{'loss': 7.0955, 'grad_norm': 2.0606820583343506, 'learning_rate': 0.00045253333333333335, 'epoch': 0.28}
{'loss': 6.9264, 'grad_norm': 2.2895562648773193, 'learning_rate': 0.00045200000000000004, 'epoch': 0.29}
{'eval_loss': 6.9992289543151855, 'eval_bleu': 0.0798, 'eval_chrf': 5.8751, 'eval_runtime': 444.2604, 'eval_samples_per_second': 4.502, 'eval_steps_per_second': 0.281, 'epoch': 0.29}
{'loss': 6.8808, 'grad_norm': 3.009371519088745, 'learning_rate': 0.00045146666666666667, 'epoch': 0.29}
{'loss': 6.8471, 'grad_norm': 2.559122323989868, 'learning_rate': 0.00045093333333333336, 'epoch': 0.29}
{'loss': 6.8808, 'grad_norm': 2.7477142810821533, 'learning_rate': 0.00045040000000000005, 'epoch': 0.3}
{'loss': 6.991, 'grad_norm': 2.2795844078063965, 'learning_rate': 0.0004498666666666667, 'epoch': 0.3}
{'loss': 6.8428, 'grad_norm': 1.9182649850845337, 'learning_rate': 0.0004493333333333333, 'epoch': 0.3}
{'loss': 6.8478, 'grad_norm': 1.8893035650253296, 'learning_rate': 0.0004488, 'epoch': 0.31}
{'loss': 6.8015, 'grad_norm': 2.0767712593078613, 'learning_rate': 0.00044826666666666665, 'epoch': 0.31}
{'loss': 6.8823, 'grad_norm': 2.138071060180664, 'learning_rate': 0.00044773333333333334, 'epoch': 0.31}
{'loss': 7.0108, 'grad_norm': 2.1499292850494385, 'learning_rate': 0.0004472, 'epoch': 0.32}
{'loss': 6.9843, 'grad_norm': 2.4578704833984375, 'learning_rate': 0.00044666666666666666, 'epoch': 0.32}
{'eval_loss': 6.919475078582764, 'eval_bleu': 0.117, 'eval_chrf': 5.8745, 'eval_runtime': 465.8859, 'eval_samples_per_second': 4.293, 'eval_steps_per_second': 0.268, 'epoch': 0.32}
{'loss': 6.9354, 'grad_norm': 2.4853739738464355, 'learning_rate': 0.00044613333333333335, 'epoch': 0.32}
{'loss': 6.9918, 'grad_norm': 1.958842158317566, 'learning_rate': 0.0004456, 'epoch': 0.33}
{'loss': 7.2016, 'grad_norm': 1.927322268486023, 'learning_rate': 0.0004450666666666667, 'epoch': 0.33}
{'loss': 6.8663, 'grad_norm': 2.5565378665924072, 'learning_rate': 0.00044453333333333337, 'epoch': 0.33}
{'loss': 6.8543, 'grad_norm': 2.5138213634490967, 'learning_rate': 0.000444, 'epoch': 0.34}
{'loss': 7.0125, 'grad_norm': 1.990013599395752, 'learning_rate': 0.0004434666666666667, 'epoch': 0.34}
{'loss': 6.8439, 'grad_norm': 1.7190642356872559, 'learning_rate': 0.00044293333333333333, 'epoch': 0.34}
{'loss': 6.9895, 'grad_norm': 2.539235830307007, 'learning_rate': 0.0004424, 'epoch': 0.35}
{'loss': 6.8757, 'grad_norm': 1.9748784303665161, 'learning_rate': 0.0004418666666666667, 'epoch': 0.35}
{'loss': 6.7901, 'grad_norm': 2.8964335918426514, 'learning_rate': 0.00044133333333333335, 'epoch': 0.35}
{'eval_loss': 6.880820274353027, 'eval_bleu': 0.0976, 'eval_chrf': 6.3169, 'eval_runtime': 432.5515, 'eval_samples_per_second': 4.624, 'eval_steps_per_second': 0.289, 'epoch': 0.35}
{'loss': 6.8856, 'grad_norm': 2.2578625679016113, 'learning_rate': 0.00044080000000000004, 'epoch': 0.36}
{'loss': 6.85, 'grad_norm': 2.3903045654296875, 'learning_rate': 0.00044026666666666667, 'epoch': 0.36}
{'loss': 6.733, 'grad_norm': 2.1041524410247803, 'learning_rate': 0.0004397333333333333, 'epoch': 0.36}
{'loss': 6.9517, 'grad_norm': 1.950825572013855, 'learning_rate': 0.0004392, 'epoch': 0.36}
{'loss': 7.1119, 'grad_norm': 2.386794328689575, 'learning_rate': 0.00043866666666666663, 'epoch': 0.37}
{'loss': 6.8539, 'grad_norm': 2.1369640827178955, 'learning_rate': 0.0004381333333333333, 'epoch': 0.37}
{'loss': 6.7534, 'grad_norm': 2.0822927951812744, 'learning_rate': 0.0004376, 'epoch': 0.37}
{'loss': 6.862, 'grad_norm': 2.072756767272949, 'learning_rate': 0.00043706666666666665, 'epoch': 0.38}
{'loss': 6.8818, 'grad_norm': 2.3039371967315674, 'learning_rate': 0.00043653333333333334, 'epoch': 0.38}
{'loss': 6.7207, 'grad_norm': 2.4369072914123535, 'learning_rate': 0.000436, 'epoch': 0.38}
{'eval_loss': 6.830704212188721, 'eval_bleu': 0.1041, 'eval_chrf': 6.5379, 'eval_runtime': 456.5949, 'eval_samples_per_second': 4.38, 'eval_steps_per_second': 0.274, 'epoch': 0.38}
{'loss': 6.627, 'grad_norm': 2.195863962173462, 'learning_rate': 0.00043546666666666666, 'epoch': 0.39}
{'loss': 6.7188, 'grad_norm': 2.2860801219940186, 'learning_rate': 0.00043493333333333335, 'epoch': 0.39}
{'loss': 6.8344, 'grad_norm': 2.464824676513672, 'learning_rate': 0.00043440000000000004, 'epoch': 0.39}
{'loss': 6.8841, 'grad_norm': 2.5313527584075928, 'learning_rate': 0.0004338666666666667, 'epoch': 0.4}
{'loss': 6.8351, 'grad_norm': 2.101295232772827, 'learning_rate': 0.00043333333333333337, 'epoch': 0.4}
{'loss': 6.6964, 'grad_norm': 2.0832130908966064, 'learning_rate': 0.0004328, 'epoch': 0.4}
{'loss': 6.8395, 'grad_norm': 2.127274990081787, 'learning_rate': 0.0004322666666666667, 'epoch': 0.41}
{'loss': 6.9083, 'grad_norm': 2.738551378250122, 'learning_rate': 0.0004317333333333334, 'epoch': 0.41}
{'loss': 6.7038, 'grad_norm': 2.2006373405456543, 'learning_rate': 0.0004312, 'epoch': 0.41}
